Organisation Name,Award offered,Discipline,Applicant ACE Area,Region (ONS),Local Authority Name,Constituency
Sidney & Matilda,50000.00,Music,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Signal Film and Media,75000.00,Combined arts,North,North West,Barrow-in-Furness,Barrow and Furness
Signdance Collective,50000.00,Combined arts,South East,South East,Buckinghamshire,Wycombe
SINCRU,79176.00,Dance,South East,East of England,Cambridge,Cambridge
Sine Digital Limited,250000.00,Theatre,London,London,Hackney,Hackney South and Shoreditch
Sinfonietta Productions Limited,80990.00,Music,London,London,Islington,Islington South and Finsbury
Sink The Pink,60627.00,Theatre,London,London,Waltham Forest,Walthamstow
Siobhan Davies Dance,145000.00,Dance,London,London,Southwark,Bermondsey and Old Southwark
Sister Midnight Records,51036.00,Music,London,London,Lewisham,"Lewisham, Deptford"
Site Gallery,112266.00,Visual arts,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Slam Dunk Limited,175981.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
Slough Borough Council,65508.00,Other/Not Known,South East,South East,Slough,Slough
Slung Low Limited,98255.00,Theatre,North,Yorkshire and The Humber,Leeds,Leeds Central
Small Pond Recordings,89350.00,Music,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Smithdown Social,155000.00,Combined arts,North,North West,Liverpool,"Liverpool, Riverside"
Snape Maltings,950000.00,Music,South East,East of England,East Suffolk,Suffolk Coastal
so sussex,92500.00,Not discipline specific,South East,South East,Lewes,Lewes
Soho Theatre Company,898322.00,Theatre,London,London,Westminster,Cities of London and Westminster
Solar Plexus Productions Limited,51569.00,Theatre,London,London,Islington,Islington South and Finsbury
Solent Sky,85000.00,Museums,South West,South East,Southampton,"Southampton, Itchen"
Some Voices Ltd,58319.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Somerset Film and Video Ltd,52000.00,Film,South West,South West,Sedgemoor,Bridgwater and West Somerset
Something To Aim For,247355.00,Combined arts,London,London,Tower Hamlets,Bethnal Green and Bow
Sonia Sabri Company,64141.00,Dance,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Sound Diplomacy Limited,125000.00,Music,London,London,Hackney,Hackney South and Shoreditch
SOUND GALLERY CIC,77300.00,Music,South West,South West,Exeter,Exeter
Sound Services Limited,172755.00,Music,London,London,Lewisham,"Lewisham, Deptford"
Soundart Radio,50000.00,Combined arts,South West,South West,South Hams,Totnes
SoundCity,75000.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Soundhouse Leicester,64406.00,Music,Midlands,East Midlands,Leicester,Leicester South
soundLINCS,128000.00,Music,Midlands,East Midlands,Lincoln,Lincoln
Soup Kitchen,186579.00,Music,North,North West,Manchester,Manchester Central
South East Dance Ltd,180447.00,Dance,South East,South East,Brighton and Hove,"Brighton, Pavilion"
South Hill Park Trust,232258.00,Combined arts,South East,South East,Bracknell Forest,Bracknell
South Holland District Council,170860.00,Combined arts,Midlands,East Midlands,South Holland,South Holland and The Deepings
South Kesteven District Council,230000.00,Combined arts,Midlands,East Midlands,South Kesteven,Grantham and Stamford
South London Gallery,387588.00,Visual arts,London,London,Southwark,Camberwell and Peckham
South West Heritage Trust,198624.00,Museums,South West,South West,Somerset West and Taunton,Taunton Deane
Southend Theatres Ltd,656775.00,Not discipline specific,South East,East of England,Southend-on-Sea,Rochford and Southend East
Southwark Playhouse Theatre Company,243678.00,Theatre,London,London,Southwark,Bermondsey and Old Southwark
Spa Pavilion Limited,746000.00,Combined arts,South East,East of England,East Suffolk,Suffolk Coastal
SPACE 289,104325.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
Spacial Installations Ltd,228000.00,Not discipline specific,South East,South East,West Oxfordshire,Witney
Spike Island Artspace Ltd,189306.00,Visual arts,South West,South West,"Bristol, City of",Bristol West
Spitalfields Festival Ltd.,93772.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
Spring Break Festivals t/a Mostly Jazz,50000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Spring Markets Limited,247727.00,Music,North,North West,Manchester,"Manchester, Withington"
Spyder UK Ltd,104921.00,Not discipline specific,South West,South East,Isle of Wight,Isle of Wight
SQDL t/a Boiler Shop,788961.00,Not discipline specific,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
Srishti,54215.00,Dance,London,London,Hillingdon,Uxbridge and South Ruislip
ss Great Britain Trust,888186.00,Museums,South West,South West,"Bristol, City of",Bristol West
SSD Music limited,700000.00,Music,South West,South East,Portsmouth,Portsmouth South
St Albans Museums,143432.00,Museums,South East,East of England,St Albans,St Albans
St Barbe Museum and Art Gallery,53841.00,Museums,South West,South East,New Forest,New Forest West
St George's Bristol,564916.00,Music,South West,South West,"Bristol, City of",Bristol West
St James Events Ltd,84625.00,Music,South East,South East,Brighton and Hove,"Brighton, Kemptown"
St John's Smith Square,227147.00,Music,London,London,Westminster,Cities of London and Westminster
St Paul's Arts Trust,54196.00,Theatre,London,London,Tower Hamlets,Poplar and Limehouse
St.GeorgesTheatre,94130.00,Theatre,South East,East of England,Great Yarmouth,Great Yarmouth
Stables Theatre,71187.00,Theatre,South East,South East,Hastings,Hastings and Rye
Stage 4 Limited,228457.00,Music,South West,South East,Southampton,"Southampton, Test"
Stage 84 Performing Arts Ltd,50000.00,Theatre,North,Yorkshire and The Humber,Bradford,Bradford East
Stagecore Productions LTD,50000.00,Music,South West,South West,Dorset,North Dorset
Stagetext,90828.00,Theatre,London,London,Southwark,Bermondsey and Old Southwark
Stamford Shakespeare Company,240000.00,Theatre,Midlands,East Midlands,Rutland,Rutland and Melton
Stanley Halls,74098.00,Combined arts,London,London,Croydon,Croydon North
Starr in the Community CIC Limited T/A Circus Starr,317551.00,Combined arts,North,North West,Cheshire East,Congleton
Steel Mill Events Ltd,117000.00,Music,Midlands,West Midlands,Wolverhampton,Wolverhampton South East
Sternberg Clarke Ltd,90000.00,Not discipline specific,London,London,Wandsworth,Battersea
Steve Ross Foundation for the Arts,231927.00,Visual arts,South West,South East,Isle of Wight,Isle of Wight
Steve Steinman Productions Ltd,250000.00,Theatre,Midlands,East Midlands,Newark and Sherwood,Newark
Stevenage Leisure Limited,898026.00,Not discipline specific,South East,East of England,Stevenage,Stevenage
Stockport Plaza Trust,213611.00,Combined arts,North,North West,Stockport,Stockport
Stockton Arts Centre Ltd,239500.00,Combined arts,North,North East,Stockton-on-Tees,Stockton North
Stoke on Trent & North Staffordshire Theatre Trust,248990.00,Theatre,Midlands,West Midlands,Newcastle-under-Lyme,Newcastle-under-Lyme
Stone and Carew Ltd,53530.00,Theatre,North,North West,Liverpool,"Liverpool, Riverside"
Stony Valley,300000.00,Music,London,London,Wandsworth,Battersea
Stopgap Dance Company,55000.00,Dance,South East,South East,Waverley,South West Surrey
Storm Lighting Ltd,164395.00,Not discipline specific,South East,South East,Woking,Woking
Strange Cargo,50000.00,Combined arts,South East,South East,Folkestone and Hythe,Folkestone and Hythe
Stratford Play House,100000.00,Theatre,Midlands,West Midlands,Stratford-on-Avon,Stratford-on-Avon
Streatham Space Project,95000.00,Theatre,London,London,Lambeth,Streatham
Strode Theatre,246911.00,Theatre,South West,South West,Mendip,Wells
Stroud Valleys Artspace,56028.00,Visual arts,South West,South West,Stroud,Stroud
Studio 3 Arts,231147.00,Combined arts,London,London,Barking and Dagenham,Barking
Studio INI,77493.00,Visual arts,London,London,Westminster,Cities of London and Westminster
Studio Spaces Limited,500000.00,Music,London,London,Tower Hamlets,Poplar and Limehouse
Studio Upstairs,50000.00,Visual arts,London,London,Croydon,Croydon North
Studio Voltaire,247391.00,Visual arts,London,London,Lambeth,Vauxhall
Studio Wayne McGregor,302168.00,Dance,London,London,Hackney,Hackney South and Shoreditch
Stuff and Nonsense Theatre Company,94000.00,Theatre,South West,South West,Dorset,West Dorset
Sturminster Newton Community Building Trust,59491.00,Not discipline specific,South West,South West,Dorset,North Dorset
Suburbia,50000.00,Music,South West,South East,Southampton,"Southampton, Test"
Sugarhouse Studios Ltd,75095.00,Combined arts,London,London,Southwark,Bermondsey and Old Southwark
Sun Pier House CIC,170500.00,Visual arts,South East,South East,Medway,Rochester and Strood
Sunderland Culture,341777.00,Not discipline specific,North,North East,Sunderland,Sunderland Central
Sunny Art Centre,150000.00,Visual arts,London,London,Camden,Holborn and St Pancras
Surface Area Dance Theatre CIC,63699.00,Dance,North,North East,Sunderland,Houghton and Sunderland South
Sussex Events Ltd,50000.00,Not discipline specific,South East,South East,Wealden,Lewes
Swaledale Festival,50428.00,Music,North,Yorkshire and The Humber,Richmondshire,Richmond (Yorks)
SWG Events Ltd,200000.00,Not discipline specific,South West,South West,South Gloucestershire,Filton and Bradley Stoke
Swindon Dance,105325.00,Dance,South West,South West,Swindon,South Swindon
T.H.Collective,195000.00,Not discipline specific,South West,South West,"Bristol, City of",Bristol East
Tamara Barton Campbell,152980.00,Visual arts,London,London,Lambeth,Vauxhall
Taunton Theatre Association Ltd,194015.00,Theatre,South West,South West,Somerset West and Taunton,Taunton Deane
TDR PRODUCTIONS LTD,248465.00,Music,South West,South West,"Bristol, City of",Bristol West
Tees Music Alliance,103000.00,Music,North,North East,Stockton-on-Tees,Stockton North
Tees Valley Arts,67791.00,Combined arts,North,North East,Redcar and Cleveland,Redcar
Telegraph Museum Porthcurno,164000.00,Museums,South West,South West,Cornwall,St Ives
Tenors Un Limited,75000.00,Music,South East,South East,Elmbridge,Runnymede and Weybridge
Terralec Ltd,69000.00,Not discipline specific,South East,East of England,Rochford,Rochford and Southend East
TG Events,50000.00,Not discipline specific,North,Yorkshire and The Humber,Kirklees,Colne Valley
Thackray Medical Museum,373281.00,Museums,North,Yorkshire and The Humber,Leeds,Leeds East
The 99 Club Limited,100000.00,Theatre,South East,South East,Horsham,Horsham
The Actors Centre,240000.00,Theatre,London,London,Camden,Holborn and St Pancras
the Albany,248468.00,Combined arts,London,London,Lewisham,"Lewisham, Deptford"
The Albany Theatre,250000.00,Theatre,Midlands,West Midlands,Coventry,Coventry South
The Alnwick Garden,90000.00,Combined arts,North,North East,Northumberland,Berwick-upon-Tweed
The Alternative Theatre Company Ltd.,250000.00,Theatre,London,London,Hammersmith and Fulham,Hammersmith
The Anvil Trust Ltd,246000.00,Music,South West,South East,Basingstoke and Deane,Basingstoke
The Art House,65000.00,Music,South West,South East,Southampton,"Southampton, Itchen"
"The Arts Centre, Hounslow",88210.00,Theatre,London,London,Hounslow,Brentford and Isleworth
The Arts Charity at Dean Clough,50000.00,Visual arts,North,Yorkshire and The Humber,Calderdale,Halifax
The Arts Depot Trust Ltd,750000.00,Combined arts,London,London,Barnet,Finchley and Golders Green
The Atkinson,203934.00,Visual arts,North,North West,Sefton,Southport
The Audience Agency,324000.00,Not discipline specific,North,North West,Manchester,Manchester Central
The Auxiliary Project Space,72462.00,Combined arts,North,North East,Stockton-on-Tees,Stockton South
The Barn Theatre Project,349500.00,Theatre,South West,South West,Cotswold,The Cotswolds
The Beacon Museum,252000.00,Museums,North,North West,Copeland,Copeland
The Bear Club,57000.00,Music,South East,East of England,Luton,Luton South
The Beau Nash Ltd t/a Komedia Bath,210000.00,Combined arts,South West,South West,Bath and North East Somerset,Bath
The BIG Sing,50000.00,Music,Midlands,West Midlands,Rugby,Rugby
The Big Tiny,51306.00,Combined arts,North,North West,Bolton,Bolton North East
The Bluecoat,249996.00,Combined arts,North,North West,Liverpool,"Liverpool, Riverside"
The Boileroom Originate CIC,70000.00,Music,South East,South East,Guildford,Guildford
The Brickworks Museum,55934.00,Museums,South West,South East,Fareham,Fareham
The Brindley Theatre (Halton Borough Council),230660.00,Combined arts,North,North West,Halton,Halton
The Bronte Society,119200.00,Museums,North,Yorkshire and The Humber,Bradford,Keighley
The Brunel Museum,180000.00,Museums,London,London,Southwark,Bermondsey and Old Southwark
The Bullingdon,212621.00,Music,South East,South East,Oxford,Oxford East
The Cambridge Curwen Print Study Centre Ltd,53973.00,Visual arts,South East,East of England,South Cambridgeshire,South East Cambridgeshire
The Campaign for Drawing,65141.00,Visual arts,London,London,Tower Hamlets,Poplar and Limehouse
The Chambers,219278.00,Music,South East,South East,Folkestone and Hythe,Folkestone and Hythe
The Chameleon Arts Cafe,77161.00,Combined arts,Midlands,East Midlands,Nottingham,Nottingham South
The Charleston Trust (Bloomsbury in Sussex),249995.00,Museums,South East,South East,Wealden,Lewes
The Chartered Institute of Library and Information Professionals,623000.00,Music,London,London,Camden,Holborn and St Pancras
The Charterhouse,105000.00,Combined arts,London,London,Islington,Islington South and Finsbury
The Cheltenham Trust,852161.00,Visual arts,South West,South West,Cheltenham,Cheltenham
The Children's Bookshow,51340.00,Literature,London,London,Brent,Hampstead and Kilburn
The Circus House,50000.00,Theatre,North,North West,Manchester,"Manchester, Gorton"
"The Civic, Stourport",61285.00,Combined arts,Midlands,West Midlands,Wyre Forest,Wyre Forest
THE CLAY FOUNDATION CIO,80000.00,Visual arts,Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central
The Columbo Group Limited,150000.00,Music,London,London,Islington,Islington South and Finsbury
The Comedy Station,50000.00,Theatre,North,North West,Blackpool,Blackpool South
The Courtyard Theatre Ltd,98000.00,Combined arts,London,London,Hackney,Hackney South and Shoreditch
The Courtyard Trust,535565.00,Combined arts,Midlands,West Midlands,"Herefordshire, County of",Hereford and South Herefordshire
The Crack Ltd,75000.00,Not discipline specific,North,North East,Newcastle upon Tyne,Newcastle upon Tyne East
The Craufurd Arms,101096.00,Music,South East,South East,Milton Keynes,Milton Keynes North
The Creative Art House,161000.00,Visual arts,North,Yorkshire and The Humber,Wakefield,Wakefield
The Creative Seed CIC,72000.00,Combined arts,North,North East,South Tyneside,South Shields
The Creative Society,57450.00,Not discipline specific,London,London,Barnet,Finchley and Golders Green
The Crescent Theatre Limited,215000.00,Theatre,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
The Dance Network Association,66050.00,Dance,South East,East of England,Colchester,Colchester
The Domino Club,100000.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
The Dorothy Pax,137280.00,Music,North,Yorkshire and The Humber,Sheffield,Sheffield Central
The Dukes Playhouse Ltd,150000.00,Theatre,North,North West,Lancaster,Lancaster and Fleetwood
The Edge,137591.00,Theatre,North,North West,Manchester,"Manchester, Withington"
The Event Umbrella Ltd,75000.00,Not discipline specific,South East,South East,Canterbury,Canterbury
The Extreme Stunt Show Ltd,545820.00,Combined arts,North,North East,Gateshead,Gateshead
The Factory of Creativity,150000.00,Theatre,North,North West,Manchester,Manchester Central
The Forum Music Studios,106019.00,Music,North,North East,Darlington,Darlington
The GAP Arts Project,56865.00,Visual arts,Midlands,West Midlands,Birmingham,"Birmingham, Hall Green"
The Garage trust,75000.00,Combined arts,South East,East of England,Norwich,Norwich South
The Garden Museum,240000.00,Museums,London,London,Lambeth,Vauxhall
The George Tavern,222030.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
The Georgian Theatre Royal,52960.00,Theatre,North,Yorkshire and The Humber,Richmondshire,Richmond (Yorks)
The Glass Foundry,100000.00,Visual arts,South West,South West,Stroud,Stroud
THE GLORY,145419.00,Combined arts,London,London,Hackney,Hackney South and Shoreditch
The Grayston Unity,50000.00,Combined arts,North,Yorkshire and The Humber,Calderdale,Halifax
The Green Door Store,219543.00,Music,South East,South East,Brighton and Hove,"Brighton, Pavilion"
The Guild of St Mary's Centre Lichfield,64126.00,Museums,Midlands,West Midlands,Lichfield,Lichfield
The Guildhall Trust,215000.00,Music,South West,South East,Portsmouth,Portsmouth South
The Headless Pub Co Ltd,95000.00,Music,Midlands,East Midlands,Derby,Derby South
The Horn,249272.00,Music,South East,East of England,St Albans,St Albans
The Hoxton Distillery LTD / TA The Macbeth,140081.00,Music,London,London,Hackney,Hackney South and Shoreditch
The Hunter Club,123753.00,Music,South East,East of England,West Suffolk,Bury St Edmunds
The Indigo Press Publishing Limited,60000.00,Literature,London,London,Westminster,Cities of London and Westminster
THE INTERNATIONAL MUSIC EXCHANGE,50000.00,Music,South West,South West,Mendip,Wells
The Jam House Birmingham,146760.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
The Kala Chethena Kathakali Troupe,50000.00,Dance,South West,South East,Southampton,"Southampton, Itchen"
The Kings Theatre Trust,345861.00,Theatre,South West,South East,Portsmouth,Portsmouth South
The Leadmill Ltd,241571.00,Music,North,Yorkshire and The Humber,Sheffield,Sheffield Central
The Leatherhead Theatre Company Limited,50000.00,Theatre,South East,South East,Mole Valley,Mole Valley
the lexington,180090.00,Music,London,London,Islington,Islington South and Finsbury
The Lightbox,64000.00,Visual arts,South East,South East,Woking,Woking
"The Louisiana, Bristol",137476.00,Music,South West,South West,"Bristol, City of",Bristol West
The Lounge Bar,54000.00,Music,South West,South East,East Hampshire,East Hampshire
The Lyric Theatre Hammersmith Limited,377361.00,Theatre,London,London,Hammersmith and Fulham,Hammersmith
"The Mad Hatter, Oxford",50000.00,Music,South East,South East,Oxford,Oxford East
The Maltings Berwick Trust Limited,230000.00,Combined arts,North,North East,Northumberland,Berwick-upon-Tweed
The Mary Rose Trust,655304.00,Not discipline specific,South West,South East,Portsmouth,Portsmouth South
The Met,116000.00,Combined arts,North,North West,Bury,Bury North
The Mill Birmingham,283000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
The Mono Box,85000.00,Theatre,Midlands,West Midlands,Wychavon,Mid Worcestershire
The Montgomery Theatre and Arts Centre,75000.00,Theatre,North,Yorkshire and The Humber,Sheffield,Sheffield Central
The Music Consortium Crewing Ltd,50000.00,Music,North,Yorkshire and The Humber,Leeds,Leeds West
The Musical Museum,105096.00,Museums,London,London,Hounslow,Brentford and Isleworth
The National Holocaust Centre and Museum,75000.00,Museums,Midlands,East Midlands,Newark and Sherwood,Newark
The National Museum of Computing,60884.00,Museums,South East,South East,Milton Keynes,Milton Keynes South
The Nest Collective,51000.00,Music,London,London,Hackney,Hackney North and Stoke Newington
The Night Owl,128000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
The Oak Circus Centre,51479.00,Combined arts,South East,East of England,Norwich,Norwich South
The Old Market,383531.00,Theatre,South East,South East,Brighton and Hove,Hove
The People's Orchestra,54000.00,Music,Midlands,West Midlands,Sandwell,West Bromwich East
The Phoenix Theatre & Arts Centre,50000.00,Theatre,South West,South East,East Hampshire,East Hampshire
The Photographers' Gallery,356420.00,Visual arts,London,London,Westminster,Cities of London and Westminster
The Pipeline,51185.00,Music,South East,South East,Brighton and Hove,"Brighton, Pavilion"
The Piper,237023.00,Music,South East,South East,Hastings,Hastings and Rye
The Plough Arts Centre,80424.00,Combined arts,South West,South West,Torridge,Torridge and West Devon
The Point,193000.00,Combined arts,South West,South East,Eastleigh,Eastleigh
The Pool Agency Limited,50000.00,Music,South West,South West,"Bristol, City of",Bristol South
The Postal Museum,860000.00,Museums,London,London,Camden,Holborn and St Pancras
The Pound Arts Trust Ltd,64891.00,Combined arts,South West,South West,Wiltshire,Chippenham
The Production Place Live Ltd,71500.00,Not discipline specific,London,London,Southwark,Bermondsey and Old Southwark
The Quay Theatre,121713.00,Theatre,South East,East of England,Babergh,South Suffolk
The Quilters' Guild of the British Isles,78600.00,Visual arts,North,Yorkshire and The Humber,York,York Central
The Ransom Note,50000.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
The Reading Agency,450000.00,Literature,London,London,Islington,Islington South and Finsbury
The Riverrooms,57900.00,Music,Midlands,West Midlands,Dudley,Stourbridge
The Roald Dahl Museum and Story Centre,157272.00,Museums,South East,South East,Buckinghamshire,Chesham and Amersham
The Roundhouse Trust,775000.00,Combined arts,London,London,Camden,Holborn and St Pancras
The Royal Hippodrome Theatre,188744.00,Theatre,South East,South East,Eastbourne,Eastbourne
The Samosa media charity Reg'd Number 1165245,50000.00,Not discipline specific,London,London,Southwark,Bermondsey and Old Southwark
The Seagull Lowestoft Community Interest Company,86424.00,Theatre,South East,East of England,East Suffolk,Waveney
The Showroom,71614.00,Visual arts,London,London,Westminster,Westminster North
The Sound Lounge Trust CIC,246606.00,Music,London,London,Sutton,Sutton and Cheam
The Spire Arts,56500.00,Combined arts,South East,South East,Brighton and Hove,"Brighton, Kemptown"
The Spring Arts & Heritage Centre,94000.00,Combined arts,South West,South East,Havant,Havant
The Stag Community Arts Centre,444395.00,Combined arts,South East,South East,Sevenoaks,Sevenoaks
The Stage Door Southampton Ltd,144960.00,Combined arts,South West,South East,Southampton,"Southampton, Itchen"
The Stage Management Company (UK) Ltd,50000.00,Not discipline specific,North,Yorkshire and The Humber,Bradford,Bradford East
The Stained Glass Museum,71790.00,Museums,South East,East of England,East Cambridgeshire,South East Cambridgeshire
The Stand-Up Club Ltd,55000.00,Theatre,South West,South East,Hart,North East Hampshire
The Star&Garter,73076.00,Music,North,North West,Manchester,Manchester Central
The Stoller Hall,150000.00,Music,North,North West,Manchester,Manchester Central
The Story Museum,170000.00,Museums,South East,South East,Oxford,Oxford East
The Tank Museum,780000.00,Museums,South West,South West,Dorset,South Dorset
The Three Choirs Festival Association Ltd,230000.00,Music,South West,South West,Gloucester,Gloucester
THE VICTORIA,86555.00,Music,London,London,Hackney,Hackney North and Stoke Newington
The Victoria Theatre,301330.00,Theatre,North,Yorkshire and The Humber,Calderdale,Halifax
The Voice Project,50000.00,Music,South East,East of England,Norwich,Norwich South
The Wardrobe,174787.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
The Wardrobe Ensemble,51600.00,Theatre,South West,South West,North Somerset,North Somerset
The Wardrobe Theatre,65192.00,Theatre,South West,South West,"Bristol, City of",Bristol West
The Warehouse Project (Manchester) Limited,343000.00,Music,London,London,Westminster,Cities of London and Westminster
The Wedgewood Rooms,147372.00,Music,South West,South East,Portsmouth,Portsmouth South
The Wharf Ltd.,66000.00,Music,South East,East of England,Norwich,Norwich South
"The Whitworth, University of Manchester",428223.00,Museums,North,North West,Manchester,Manchester Central
The Wigmore Hall Trust,1000000.00,Music,London,London,Westminster,Cities of London and Westminster
The Wisbech Theatre Trust,128000.00,Theatre,South East,East of England,Fenland,North East Cambridgeshire
The Witham Hall Ltd,50000.00,Combined arts,North,North East,County Durham,Bishop Auckland
The Yard Theatre Ltd.,248791.00,Theatre,London,London,Tower Hamlets,Bethnal Green and Bow
The York Early Music Foundation,50000.00,Music,North,Yorkshire and The Humber,York,York Central
Theatre Ad Infinitum,58500.00,Theatre,South West,South West,"Bristol, City of",Bristol South
Theatre Bristol Ltd,50019.00,Theatre,South West,South West,"Bristol, City of",Bristol South
Theatre Delicatessen,152137.00,Theatre,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Theatre Peckham,150000.00,Theatre,London,London,Southwark,Camberwell and Peckham
Theatre Royal & Royal Concert Hall Nottingham,851604.00,Theatre,Midlands,East Midlands,Nottingham,Nottingham East
Theatre Royal Bath,955192.00,Theatre,South West,South West,Bath and North East Somerset,Bath
Theatre Royal Bury St Edmunds,245088.00,Theatre,South East,East of England,West Suffolk,Bury St Edmunds
Theatre Royal Wakefield,475000.00,Theatre,North,Yorkshire and The Humber,Wakefield,Wakefield
Theatre Tent Co,228474.00,Theatre,Midlands,East Midlands,Charnwood,Charnwood
Theatre503 Ltd,90268.00,Theatre,London,London,Wandsworth,Battersea
thelordchamberlainsmen,72135.00,Theatre,London,London,Lewisham,"Lewisham, Deptford"
TheMetloungeP,63186.00,Music,South East,East of England,Peterborough,Peterborough
theSpaceUK,65000.00,Theatre,South East,South East,Waverley,South West Surrey
Things Made Public CIC,122900.00,Not discipline specific,South East,East of England,Basildon,Basildon and Billericay
Think Tank,64000.00,Music,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
Dragonfly Lighting,147000.00,Not discipline specific,South East,South East,Cherwell,Banbury
Thornton and Allerton Community Association,52592.00,Visual arts,North,Yorkshire and The Humber,Bradford,Bradford West
Thought Bubble Festival,51000.00,Visual arts,North,Yorkshire and The Humber,Bradford,Keighley
Three Little Birds LLP (York),108668.00,Music,North,Yorkshire and The Humber,York,York Central
Three Rivers District Council - Watersmeet Theatre,175000.00,Theatre,South East,East of England,Three Rivers,South West Hertfordshire
Threshold Studios,79774.00,Visual arts,Midlands,East Midlands,Northampton,Northampton North
Tilted Wig Productions,79200.00,Theatre,South West,South West,"Bournemouth, Christchurch and Poole",Bournemouth East
Titchfield Festival Theatre Limited,113497.00,Theatre,South West,South East,Fareham,Fareham
Tiverton Museum of Mid Devon Life,64000.00,Museums,South West,South West,Mid Devon,Tiverton and Honiton
TLC Management Ltd.,66000.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
Tom And Laci Productions Limited,362980.00,Combined arts,North,North West,Blackpool,Blackpool South
Tomorrow's Warriors Ltd,195000.00,Music,London,London,Harrow,Harrow West
Tony Hopkins Entertainments Ltd,50000.00,Combined arts,North,North East,Gateshead,Gateshead
Torbay Museums Trust,120000.00,Museums,South West,South West,Torbay,Torbay
Tots Events Ltd,50000.00,Music,South East,South East,Woking,Woking
Towner Art Gallery,140500.00,Visual arts,South East,South East,Eastbourne,Eastbourne
Transition Video Ltd,249031.00,Not discipline specific,South East,South East,Buckinghamshire,Aylesbury
Trestle Theatre Company,64908.00,Theatre,South East,East of England,St Albans,St Albans
Triangle Arts Trust,66000.00,Visual arts,London,London,Lambeth,Vauxhall
Trigger,85558.00,Theatre,South West,South West,North Somerset,Weston-super-Mare
Trinity Community Arts,329363.00,Music,South West,South West,"Bristol, City of",Bristol West
Trinity Theatre and Arts Centre,250000.00,Theatre,South East,South East,Tunbridge Wells,Tunbridge Wells
Truro Business Hub Ltd,218546.00,Music,South West,South West,Cornwall,Truro and Falmouth
TUBE UK LTD,153296.00,Not discipline specific,North,North West,Manchester,Manchester Central
Tullie House Museum and Art Gallery,494800.00,Museums,North,North West,Carlisle,Carlisle
Turbine Creatives,90000.00,Theatre,Midlands,West Midlands,Wychavon,Mid Worcestershire
Turf Projects,79917.00,Visual arts,London,London,Croydon,Croydon Central
Turner Contemporary,104000.00,Visual arts,South East,South East,Thanet,North Thanet
TWForum,168546.00,Music,South East,South East,Tunbridge Wells,Tunbridge Wells
TWIST & SHOUT LIMITED,100000.00,Music,London,London,Hackney,Hackney North and Stoke Newington
Tyne & Wear Archives & Museums,387825.00,Museums,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
Tyne Theatre and Opera House Limited,210000.00,Theatre,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
UBIK PRODUCTIONS LTD,62000.00,Visual arts,London,London,Tower Hamlets,Bethnal Green and Bow
UK Storyhouse Ltd,730252.00,Combined arts,North,North West,Cheshire West and Chester,City of Chester
UK Tech-Fest,50000.00,Music,North,Yorkshire and The Humber,Bradford,Shipley
Underbelly Limited,584751.00,Combined arts,London,London,Camden,Holborn and St Pancras
UNDEREXPOSED ARTS,88200.00,Combined arts,London,London,Merton,Wimbledon
Unicorn Theatre (Caryl Jenner Productions),245000.00,Theatre,London,London,Southwark,Bermondsey and Old Southwark
Union Chapel Project,133303.00,Music,London,London,Islington,Islington South and Finsbury
Union Dance,50000.00,Combined arts,London,London,Westminster,Cities of London and Westminster
Unit 1 Gallery | Workshop,150000.00,Visual arts,London,London,Kensington and Chelsea,Kensington
Unity Theatre,65000.00,Combined arts,North,North West,Liverpool,"Liverpool, Riverside"
University of Derby Theatre limited,365645.00,Theatre,Midlands,East Midlands,Derby,Derby South
"University of Leicester, Attenborough Arts Centre",167400.00,Combined arts,Midlands,East Midlands,Leicester,Leicester South
University Of Manchester Students' Union,247780.00,Music,North,North West,Manchester,Manchester Central
University of Warwick,483000.00,Combined arts,Midlands,West Midlands,Coventry,Coventry South
UP Projects,160000.00,Visual arts,London,London,Westminster,Cities of London and Westminster
